,drop_zone_type,records,reported_fare,loaded_km,assumed_unpaid_km,total_scenario_km,unpaid_distance_fraction_if_no_next_fare,gross_fare_per_scenario_km
0,city_core,22711,4899236.0,299092.39,0.0,299092.39,0.0,16.3803432110058
1,suburban,19130,6720469.0,443921.38,0.0,443921.38,0.0,15.138872112895307
2,tech_park,9025,2294637.0,144648.98,0.0,144648.98,0.0,15.863485521985705
3,city_core,22711,4899236.0,299092.39,70669.81,369762.2,0.5,13.249693992517352
4,suburban,19130,6720469.0,443921.38,184482.46,628403.84,0.5,10.694506577171776
5,tech_park,9025,2294637.0,144648.98,42558.265,187207.245,0.5,12.257201904766026
6,city_core,22711,4899236.0,299092.39,141339.62,440432.01,1.0,11.123705563544302
7,suburban,19130,6720469.0,443921.38,368964.92,812886.3,1.0,8.26741575051763
8,tech_park,9025,2294637.0,144648.98,85116.53,229765.51,1.0,9.986864434091958
