,period,zone_hours,requests,fulfilled,unfulfilled,mean_online_per_zone_hour,fulfilment_rate,request_weighted_eta_min,request_weighted_surge,requests_per_calendar_day,unfulfilled_per_calendar_day,share_of_airport_unfulfilled
0,Critical 21:00–04:00,854,67590,21570,46020,12.973067915690866,0.3191300488237905,9.55652862849534,2.0773392513685454,1108.032786885246,754.4262295081967,0.8358458353009554
1,Daytime 09:00–19:00,1220,30889,29663,1226,46.937704918032786,0.9603094952895853,3.660226617889864,1.037041341577908,506.37704918032784,20.098360655737704,0.02226742707690072
2,Shoulder hours,854,38335,30523,7812,22.09718969555035,0.7962175557584453,5.2169716968827435,1.312357375766271,628.4426229508197,128.0655737704918,0.14188673762214393
