,drop_zone_type,sample_rows,cancelled,cancel_rate,mean_distance_km,reported_mean_fare_inr,return_eligible_records,next_fare,next_fare_rate,no_next_fare_rate,cancel_ci95_low,cancel_ci95_high,next_fare_ci95_low,next_fare_ci95_high
0,city_core,25282,2181,0.08626690926350764,13.2373348627482,216.62309152756902,22711,11996,0.5282021927700233,0.47179780722997666,0.0826913827044265,0.08996107748354291,0.5202689625331038,0.5355963080079539
1,suburban,24643,5176,0.21003936209065455,23.37652396217993,353.5654749827537,19130,3196,0.16706743335075797,0.832932566649242,0.2050310155127439,0.21509481863815794,0.16240080375080543,0.172291669639347
2,tech_park,10075,903,0.08962779156327544,16.104781141439208,255.22779156327545,9025,3730,0.41329639889196673,0.5867036011080333,0.08446116838918057,0.09562277022175118,0.40264370893818396,0.4235348778906873
