,recovered_fraction_of_unfulfilled,extra_fulfilled_per_night,extra_per_30_day_month,assumed_completions_per_effective_captain_hour,extra_effective_captain_hours,seven_hour_roster_slots_at_80pct_attendance
0,0.1,75.44262295081967,2263.27868852459,0.5,150.88524590163934,26.943793911007024
1,0.1,75.44262295081967,2263.27868852459,0.75,100.59016393442623,17.962529274004684
2,0.1,75.44262295081967,2263.27868852459,1.0,75.44262295081967,13.471896955503512
3,0.25,188.60655737704917,5658.196721311475,0.5,377.21311475409834,67.35948477751755
4,0.25,188.60655737704917,5658.196721311475,0.75,251.47540983606555,44.90632318501171
5,0.25,188.60655737704917,5658.196721311475,1.0,188.60655737704917,33.679742388758775
6,0.5,377.21311475409834,11316.39344262295,0.5,754.4262295081967,134.7189695550351
7,0.5,377.21311475409834,11316.39344262295,0.75,502.9508196721311,89.81264637002342
8,0.5,377.21311475409834,11316.39344262295,1.0,377.21311475409834,67.35948477751755
