stage,eligible,uploaded,passed,not_applicable_skips,cumulative_remaining,lost,no_upload,failed_unresolved,pending,conditional_pass_rate,cumulative_rate,share_of_all_signup_losses
DL,20207,18959,17895,0,17895,2312,1248,1064,0,0.8855842034938388,0.8855842034938388,0.13865067466266867
RC,17895,15735,13008,0,13008,4887,2160,2727,0,0.7269069572506287,0.6437373187509279,0.2930734632683658
AADHAAR,13008,12083,11631,0,11631,1377,925,452,0,0.8941420664206642,0.5755926164200524,0.08257871064467766
PERMIT,9402,7624,7059,2229,9288,2343,1778,565,0,0.7507977026164646,0.4596426980749245,0.14050974512743628
FITNESS,9288,7694,6867,0,6867,2421,1594,827,0,0.7393410852713178,0.3398327312317514,0.14518740629685156
INSURANCE,6867,4586,3888,0,3888,2979,2281,698,0,0.5661861074705111,0.1924085712871777,0.17865067466266868
